site,date,value
1,2021-02-08,0.03965582823857013
2,2021-02-08,0.02315131286474136
3,2021-02-08,0.035263601961889934
4,2021-02-08,0.039828223991025216
5,2021-02-08,0.02314902241639191
6,2021-02-08,0.028546421482963453
7,2021-02-08,0.013470040516326841
8,2021-02-08,0.004574862764544412
1,2021-02-09,0.039202068636765494
2,2021-02-09,0.022203721775058423
3,2021-02-09,0.03874904382923931
4,2021-02-09,0.040270221059699275
5,2021-02-09,0.022254479298902258
6,2021-02-09,0.028306276246631124
7,2021-02-09,0.013088551896623467
8,2021-02-09,0.0036841436169546436
1,2021-02-10,0.03927602547240398
2,2021-02-10,0.019947981184049897
3,2021-02-10,0.04388937354050801
4,2021-02-10,0.04228925754914627
5,2021-02-10,0.022235732572579627
6,2021-02-10,0.029763463108385766
7,2021-02-10,0.012976274210893734
8,2021-02-10,0.003000262902281884
1,2021-02-11,0.03948797603511475
2,2021-02-11,0.01730516898614688
3,2021-02-11,0.049056528323987304
4,2021-02-11,0.044949800657759546
5,2021-02-11,0.022120031522337436
6,2021-02-11,0.031207554490676543
7,2021-02-11,0.013195597389381052
8,2021-02-11,0.0027687682952172764
1,2021-02-12,0.04011940798856771
2,2021-02-12,0.014691473015983836
3,2021-02-12,0.053057594734835276
4,2021-02-12,0.047971239411631374
5,2021-02-12,0.02282177176964414
6,2021-02-12,0.0324100838287266
7,2021-02-12,0.01360840605137737
8,2021-02-12,0.0023405665968333784
1,2021-02-13,0.0407101012095704
2,2021-02-13,0.013051665531378834
3,2021-02-13,0.05324214970339837
4,2021-02-13,0.04764285093313671
5,2021-02-13,0.02344668224147232
6,2021-02-13,0.03215254429664271
7,2021-02-13,0.014156989031529843
8,2021-02-13,0.0019907387531674595
1,2021-02-14,0.04135414684423039
2,2021-02-14,0.012292209171116833
3,2021-02-14,0.05395978946637102
4,2021-02-14,0.047199220612810275
5,2021-02-14,0.023888513279401037
6,2021-02-14,0.031791517839701786
7,2021-02-14,0.014875787965265792
8,2021-02-14,0.0020108825873385483
1,2021-02-15,0.04225142490883967
2,2021-02-15,0.010109809896150802
3,2021-02-15,0.05494742984899292
4,2021-02-15,0.0466013322600184
5,2021-02-15,0.02455092471649183
6,2021-02-15,0.03185192811668105
7,2021-02-15,0.015536506901613366
8,2021-02-15,0.0014696533704176853
1,2021-02-16,0.04256898970919344
2,2021-02-16,0.010264968099157142
3,2021-02-16,0.05562164453251019
4,2021-02-16,0.044853476440537624
5,2021-02-16,0.024395802220259524
6,2021-02-16,0.03085798120313585
7,2021-02-16,0.01613246887028919
8,2021-02-16,0.002007265218368364
1,2021-02-17,0.04309961905013368
2,2021-02-17,0.011995448945304741
3,2021-02-17,0.058321144654779465
4,2021-02-17,0.043928338458884754
5,2021-02-17,0.024470659757376858
6,2021-02-17,0.030761860343839455
7,2021-02-17,0.017051023478946197
8,2021-02-17,0.0030367543579680745
1,2021-02-18,0.043847344804303856
2,2021-02-18,0.015385485249436009
3,2021-02-18,0.0623884630859166
4,2021-02-18,0.04284614845949472
5,2021-02-18,0.024944408733836285
6,2021-02-18,0.03143221450018966
7,2021-02-18,0.017814578512728222
8,2021-02-18,0.004418328449164986
1,2021-02-19,0.04447912602333296
2,2021-02-19,0.01994625327445567
3,2021-02-19,0.0676657772858552
4,2021-02-19,0.04222859945789789
5,2021-02-19,0.025240837464123648
6,2021-02-19,0.03234037916134988
7,2021-02-19,0.018620027783275574
8,2021-02-19,0.006384598598197394
1,2021-02-20,0.045061759047879554
2,2021-02-20,0.024975091435078672
3,2021-02-20,0.07399596905823981
4,2021-02-20,0.04250767804917898
5,2021-02-20,0.025386368550156874
6,2021-02-20,0.03348705483737108
7,2021-02-20,0.019488821184800737
8,2021-02-20,0.008468593966610262
1,2021-02-21,0.04541759542446577
2,2021-02-21,0.029860367085268756
3,2021-02-21,0.08156648134022505
4,2021-02-21,0.043910569962311866
5,2021-02-21,0.025516559708139167
6,2021-02-21,0.03508883631660936
7,2021-02-21,0.020200236229978574
8,2021-02-21,0.010374679343600363
1,2021-02-22,0.045667297778854817
2,2021-02-22,0.0338028294897923
3,2021-02-22,0.08937944234217195
4,2021-02-22,0.0460342709360158
5,2021-02-22,0.025739074486913996
6,2021-02-22,0.036996256617080524
7,2021-02-22,0.02060115575801737
8,2021-02-22,0.012066510624084299
1,2021-02-23,0.045855550595094774
2,2021-02-23,0.03744800978365283
3,2021-02-23,0.0970071794704809
4,2021-02-23,0.04787939065927508
5,2021-02-23,0.02593667356092525
6,2021-02-23,0.03817575246303827
7,2021-02-23,0.021100972291072263
8,2021-02-23,0.013397262650798259
1,2021-02-24,0.046006600152950675
2,2021-02-24,0.04074522373890148
3,2021-02-24,0.10447401778728493
4,2021-02-24,0.04951422282707124
5,2021-02-24,0.02612321107821139
6,2021-02-24,0.039092888209152236
7,2021-02-24,0.021589453785241283
8,2021-02-24,0.014475716513591265
1,2021-02-25,0.04613271932790409
2,2021-02-25,0.04353720270543423
3,2021-02-25,0.11096233405361
4,2021-02-25,0.04987165418029527
5,2021-02-25,0.026379621631072412
6,2021-02-25,0.03970799367061369
7,2021-02-25,0.02182064611375132
8,2021-02-25,0.015412870755493557
1,2021-02-26,0.045854537763991635
2,2021-02-26,0.046185353507585215
3,2021-02-26,0.11691143044380005
4,2021-02-26,0.04950269734235063
5,2021-02-26,0.02628251224186285
6,2021-02-26,0.03993507183526373
7,2021-02-26,0.022025063881312427
8,2021-02-26,0.016451500039597895
1,2021-02-27,0.04528939103404735
2,2021-02-27,0.04822503801256462
3,2021-02-27,0.12249193165908932
4,2021-02-27,0.048948816022868366
5,2021-02-27,0.025881618773979775
6,2021-02-27,0.040118766594642696
7,2021-02-27,0.022343991852461595
8,2021-02-27,0.017624911164194047
1,2021-02-28,0.044373333622528904
2,2021-02-28,0.05087761536200326
3,2021-02-28,0.1281729157430427
4,2021-02-28,0.04869972115999695
5,2021-02-28,0.025155510251743573
6,2021-02-28,0.040865300568536864
7,2021-02-28,0.022483725858998854
8,2021-02-28,0.018934815906410746
1,2021-03-01,0.045884955577073845
2,2021-03-01,0.05366265200390812
3,2021-03-01,0.05718227680844773
4,2021-03-01,0.04693512154342389
5,2021-03-01,0.029509879779739023
6,2021-03-01,0.04671482157248585
7,2021-03-01,0.028932724001550014
8,2021-03-01,0.02238196096833942
1,2021-03-02,0.046537639206358346
2,2021-03-02,0.05799326947152816
3,2021-03-02,0.060919321209857116
4,2021-03-02,0.04562582954151393
5,2021-03-02,0.029610040036484136
6,2021-03-02,0.047483633314905876
7,2021-03-02,0.03002005921876961
8,2021-03-02,0.023286206047739844
1,2021-03-03,0.047221649853641114
2,2021-03-03,0.06290202596932172
3,2021-03-03,0.06536840472863406
4,2021-03-03,0.044885921574285975
5,2021-03-03,0.029845222593717396
6,2021-03-03,0.04857371218576837
7,2021-03-03,0.031120449432793244
8,2021-03-03,0.024261480950615602
1,2021-03-04,0.048033179419242115
2,2021-03-04,0.068626006562565
3,2021-03-04,0.07049604201085866
4,2021-03-04,0.04457305142567853
5,2021-03-04,0.030317954792722174
6,2021-03-04,0.05001826361034675
7,2021-03-04,0.03216717096871226
8,2021-03-04,0.025302012773582697
1,2021-03-05,0.04903775940718533
2,2021-03-05,0.07462040034598443
3,2021-03-05,0.07629815797583064
4,2021-03-05,0.044599570694812574
5,2021-03-05,0.031045990120153716
6,2021-03-05,0.05194690091455164
7,2021-03-05,0.03316532680976806
8,2021-03-05,0.026627653124352876
1,2021-03-06,0.050192021963496446
2,2021-03-06,0.08051958718307388
3,2021-03-06,0.08358127772087567
4,2021-03-06,0.04456696982233161
5,2021-03-06,0.03212819223700268
6,2021-03-06,0.05429336799742864
7,2021-03-06,0.034019385829160885
8,2021-03-06,0.0278405623326043
1,2021-03-07,0.05102020314027884
2,2021-03-07,0.08625635009558821
3,2021-03-07,0.09160073952399538
4,2021-03-07,0.04392013613794936
5,2021-03-07,0.032275356054465826
6,2021-03-07,0.056600014861412036
7,2021-03-07,0.03455043629725409
8,2021-03-07,0.029078925226747248
1,2021-03-08,0.051562933108545775
2,2021-03-08,0.0918560730162573
3,2021-03-08,0.10144274379433339
4,2021-03-08,0.04354576340031606
5,2021-03-08,0.03207053457983309
6,2021-03-08,0.05906342270150794
7,2021-03-08,0.034614177345960985
8,2021-03-08,0.030476463183057394
1,2021-03-09,0.052008029289764585
2,2021-03-09,0.097763648031094455
3,2021-03-09,0.11199221846775474
4,2021-03-09,0.043096767294964734
5,2021-03-09,0.032004481844311
6,2021-03-09,0.061747641950250044
7,2021-03-09,0.034104885785724154
8,2021-03-09,0.03203643274378259
1,2021-03-10,0.05235011026705323
2,2021-03-10,0.1039021936483184
3,2021-03-10,0.12269238822387424
4,2021-03-10,0.04271165578477588
5,2021-03-10,0.0319100775313965
6,2021-03-10,0.06458887700839273
7,2021-03-10,0.03404192602530134
8,2021-03-10,0.0338561270001944
1,2021-03-11,0.05273541541426664
2,2021-03-11,0.11066991054822564
3,2021-03-11,0.1310243685870762
4,2021-03-11,0.04274332435112877
5,2021-03-11,0.031825526975440416
6,2021-03-11,0.0674068057507789
7,2021-03-11,0.03445357506019491
8,2021-03-11,0.03571095763254696
1,2021-03-12,0.05318052015499448
2,2021-03-12,0.11768040549411685
3,2021-03-12,0.13600963284144185
4,2021-03-12,0.042805352467651755
5,2021-03-12,0.031840173688692
6,2021-03-12,0.07073637823095136
7,2021-03-12,0.03527352231151343
8,2021-03-12,0.03767126849329695
1,2021-03-13,0.05368745728257787
2,2021-03-13,0.1251634157990092
3,2021-03-13,0.14342540162696737
4,2021-03-13,0.04275702785656941
5,2021-03-13,0.03204500200086042
6,2021-03-13,0.07437350422871851
7,2021-03-13,0.03634692783914218
8,2021-03-13,0.03982965169337995
1,2021-03-14,0.05424317266242906
2,2021-03-14,0.13312415460106192
3,2021-03-14,0.15287189495026368
4,2021-03-14,0.04275110675316984
5,2021-03-14,0.0323148521180983
6,2021-03-14,0.0783828606079287
7,2021-03-14,0.03770265849232208
8,2021-03-14,0.04247634370468899
