site,date,value
1,2021-02-20,1.5589794709382362e-4
2,2021-02-20,2.043294575169339e-4
3,2021-02-20,1.6474359458839267e-4
4,2021-02-20,1.538005510377342e-4
5,2021-02-20,1.452361065152165e-4
6,2021-02-20,1.8943651934314788e-4
7,2021-02-20,1.589542536939967e-4
8,2021-02-20,1.650387781732358e-4
1,2021-02-21,1.5089174226379866e-4
2,2021-02-21,2.097834360062938e-4
3,2021-02-21,1.63563895994111e-4
4,2021-02-21,1.5103689010866089e-4
5,2021-02-21,1.4059968376758957e-4
6,2021-02-21,1.854001973288863e-4
7,2021-02-21,1.6438071051235348e-4
8,2021-02-21,1.5854614995544836e-4
1,2021-02-22,1.5001401283387626e-4
2,2021-02-22,2.015060281811237e-4
3,2021-02-22,1.6096372329464946e-4
4,2021-02-22,1.5776218750348205e-4
5,2021-02-22,1.3883385705522848e-4
6,2021-02-22,1.8937636333304228e-4
7,2021-02-22,1.7325492995070985e-4
8,2021-02-22,1.4920264966276407e-4
1,2021-02-23,1.529831863981563e-4
2,2021-02-23,1.7914808054765957e-4
3,2021-02-23,1.5523337743851968e-4
4,2021-02-23,1.530987886720914e-4
5,2021-02-23,1.4063405360088528e-4
6,2021-02-23,1.8910940415084508e-4
7,2021-02-23,1.809728480343565e-4
8,2021-02-23,1.4260980597014748e-4
1,2021-02-24,1.544067069663931e-4
2,2021-02-24,1.7446468392175765e-4
3,2021-02-24,1.5122019327717164e-4
4,2021-02-24,1.56385366675577e-4
5,2021-02-24,1.413276946314628e-4
6,2021-02-24,1.819227214896017e-4
7,2021-02-24,1.890163392871992e-4
8,2021-02-24,1.4073725805102463e-4
1,2021-02-25,1.516864075610642e-4
2,2021-02-25,1.7011933620508972e-4
3,2021-02-25,1.5308653333027028e-4
4,2021-02-25,1.5487020987653308e-4
5,2021-02-25,1.3758869116386698e-4
6,2021-02-25,1.7293330105858443e-4
7,2021-02-25,1.9619470530349314e-4
8,2021-02-25,1.4011001900328024e-4
1,2021-02-26,1.547268497223589e-4
2,2021-02-26,1.7001559343520585e-4
3,2021-02-26,1.5612897296259198e-4
4,2021-02-26,1.52090016358859e-4
5,2021-02-26,1.3809876026741263e-4
6,2021-02-26,1.67416876984616e-4
7,2021-02-26,2.0051703701696042e-4
8,2021-02-26,1.4281811792865492e-4
1,2021-02-27,1.5902374740524707e-4
2,2021-02-27,1.733165378318249e-4
3,2021-02-27,1.5999088601043276e-4
4,2021-02-27,1.5612038662001122e-4
5,2021-02-27,1.4098628278150753e-4
6,2021-02-27,1.6676178896385432e-4
7,2021-02-27,2.0146180128712763e-4
8,2021-02-27,1.4426720948946525e-4
1,2021-02-28,1.629639893886217e-4
2,2021-02-28,1.8320917267162547e-4
3,2021-02-28,1.6127931933183657e-4
4,2021-02-28,1.61254665776478e-4
5,2021-02-28,1.4372828716403493e-4
6,2021-02-28,1.7146713815552038e-4
7,2021-02-28,2.068684626636946e-4
8,2021-02-28,1.4775980972049095e-4
1,2021-03-01,9.601587374058362e-4
2,2021-03-01,0.001286625953823731
3,2021-03-01,0.0017930352057210445
4,2021-03-01,0.0012798831399373405
5,2021-03-01,9.704002454842123e-4
6,2021-03-01,0.001070840699350347
7,2021-03-01,9.355343538658551e-4
8,2021-03-01,0.001020173419032839
1,2021-03-02,9.778438049851774e-4
2,2021-03-02,0.0013065642495145747
3,2021-03-02,0.0017815620679963065
4,2021-03-02,0.0013788532815934298
5,2021-03-02,9.95832399539704e-4
6,2021-03-02,0.001093516008386575
7,2021-03-02,9.50348720978621e-4
8,2021-03-02,0.0010315498055775219
1,2021-03-03,0.00106868300550256
2,2021-03-03,0.001407312649964007
3,2021-03-03,0.0018585048464899764
4,2021-03-03,0.0015120589178612273
5,2021-03-03,0.0010883333310925801
6,2021-03-03,0.0011901305262297093
7,2021-03-03,0.0010385603395922152
8,2021-03-03,0.0011172210166987913
1,2021-03-04,0.0012235372396563052
2,2021-03-04,0.0015744499453915978
3,2021-03-04,0.002025891008216989
4,2021-03-04,0.0017608114883841002
5,2021-03-04,0.001241849130402237
6,2021-03-04,0.0013518451124923717
7,2021-03-04,0.0011909393732550363
8,2021-03-04,0.0012733159080574605
1,2021-03-05,0.0013792564402151774
2,2021-03-05,0.001734300055369482
3,2021-03-05,0.0022673947473053793
4,2021-03-05,0.001959058783351018
5,2021-03-05,0.0013938884310312574
6,2021-03-05,0.0015078485575394985
7,2021-03-05,0.0013435568831676379
8,2021-03-05,0.001435146830907953
1,2021-03-06,0.0013663828417388695
2,2021-03-06,0.0017390994375199402
3,2021-03-06,0.0024321221553741676
4,2021-03-06,0.001921745009910136
5,2021-03-06,0.0013787026549768437
6,2021-03-06,0.0014950243328586948
7,2021-03-06,0.0013333983650218376
8,2021-03-06,0.0014316885450844543
1,2021-03-07,0.0015385860640771407
2,2021-03-07,0.0019382231437024202
3,2021-03-07,0.0028405178097118933
4,2021-03-07,0.0020359118859094917
5,2021-03-07,0.0015486973126486326
6,2021-03-07,0.0016700542498446801
7,2021-03-07,0.001510055668607572
8,2021-03-07,0.0016173459977714942
1,2021-03-08,0.0017360545939374234
2,2021-03-08,0.002164247360795381
3,2021-03-08,0.0032706142531291754
4,2021-03-08,0.0022131991605953026
5,2021-03-08,0.0017468375955070478
6,2021-03-08,0.0018761731353444811
7,2021-03-08,0.0017130906394485271
8,2021-03-08,0.0018241733597849485
1,2021-03-09,0.0019307052395062894
2,2021-03-09,0.0023812090734370178
3,2021-03-09,0.003775128438336806
4,2021-03-09,0.00240425850340323
5,2021-03-09,0.0019419320406788279
